ranking,posicao,code_muni,municipio,valor,unidade_ou_indicador,classe_residuo_luminoso,perfil_luminoso
maior_radiancia_total,3,2312908,Sobral,11568.740234375,sum_radiance,próximo ao padrão esperado,contribuinte relevante no total estadual
maior_radiancia_total,4,2307304,Juazeiro Do Norte,10334.119140625,sum_radiance,muito mais luminoso que o esperado,brilho excedente espalhado
maior_radiancia_total,5,2307650,Maracanaú,9203.0,sum_radiance,muito mais luminoso que o esperado,brilho excedente espalhado
maior_radiancia_total,6,2301000,Aquiraz,8721.9990234375,sum_radiance,muito mais luminoso que o esperado,brilho excedente espalhado
maior_radiancia_total,7,2312403,São Gonçalo Do Amarante,7484.833984375,sum_radiance,muito mais luminoso que o esperado,brilho excedente espalhado
maior_radiancia_total,8,2306405,Itapipoca,5974.66552734375,sum_radiance,menos luminoso que o esperado,contribuinte relevante no total estadual
maior_radiancia_total,9,2301109,Aracati,5667.865234375,sum_radiance,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_radiancia_total,10,2304285,Eusébio,5376.83447265625,sum_radiance,muito mais luminoso que o esperado,brilho excedente espalhado
maior_radiancia_total,11,2304202,Crato,4981.62255859375,sum_radiance,muito menos luminoso que o esperado,"denso, mas menos luminoso que o esperado"
maior_radiancia_total,12,2311801,Russas,4882.1884765625,sum_radiance,próximo ao padrão esperado,contribuinte relevante no total estadual
maior_radiancia_total,13,2302800,Canindé,4539.9306640625,sum_radiance,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_radiancia_total,14,2303501,Cascavel,4492.9130859375,sum_radiance,próximo ao padrão esperado,contribuinte relevante no total estadual
maior_radiancia_total,15,2302206,Beberibe,4180.30078125,sum_radiance,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_radiancia_total,16,2307601,Limoeiro Do Norte,4165.92236328125,sum_radiance,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_radiancia_total,17,2311405,Quixeramobim,3887.82763671875,sum_radiance,próximo ao padrão esperado,contribuinte relevante no total estadual
maior_radiancia_total,18,2305506,Iguatu,3764.1904296875,sum_radiance,muito menos luminoso que o esperado,"denso, mas menos luminoso que o esperado"
maior_radiancia_total,19,2311306,Quixadá,3685.20361328125,sum_radiance,menos luminoso que o esperado,contribuinte relevante no total estadual
maior_radiancia_total,20,2301901,Barbalha,3543.003662109375,sum_radiance,próximo ao padrão esperado,contribuinte relevante no total estadual
maior_radiancia_media,1,2304400,Fortaleza,38.12459142234548,mean_radiance,muito mais luminoso que o esperado,brilho excedente espalhado
maior_radiancia_media,2,2307650,Maracanaú,21.654117647058825,mean_radiance,muito mais luminoso que o esperado,brilho excedente espalhado
maior_radiancia_media,3,2304285,Eusébio,17.015298964102058,mean_radiance,muito mais luminoso que o esperado,brilho excedente espalhado
maior_radiancia_media,4,2307304,Juazeiro Do Norte,9.870218854465138,mean_radiance,muito mais luminoso que o esperado,brilho excedente espalhado
maior_radiancia_media,5,2309706,Pacatuba,5.8128517967308575,mean_radiance,muito mais luminoso que o esperado,brilho excedente espalhado
maior_radiancia_media,6,2301000,Aquiraz,4.498194442206034,mean_radiance,muito mais luminoso que o esperado,brilho excedente espalhado
maior_radiancia_media,7,2305233,Horizonte,4.461603816105769,mean_radiance,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_radiancia_media,8,2306256,Itaitinga,4.339337720239297,mean_radiance,muito mais luminoso que o esperado,brilho excedente espalhado
maior_radiancia_media,9,2303709,Caucaia,3.1134381092389103,mean_radiance,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_radiancia_media,10,2310852,Pindoretama,3.014506909671246,mean_radiance,próximo ao padrão esperado,perfil intermediário
maior_radiancia_media,11,2309607,Pacajus,2.328616187686012,mean_radiance,menos luminoso que o esperado,contribuinte relevante no total estadual
maior_radiancia_media,12,2312403,São Gonçalo Do Amarante,2.2001275674235745,mean_radiance,muito mais luminoso que o esperado,brilho excedente espalhado
maior_radiancia_media,13,2304251,Cruz,1.4776884902863814,mean_radiance,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_radiancia_media,14,2307254,Jijoca De Jericoacoara,1.473661150251116,mean_radiance,próximo ao padrão esperado,perfil intermediário
maior_radiancia_media,15,2301901,Barbalha,1.44494439727136,mean_radiance,próximo ao padrão esperado,contribuinte relevante no total estadual
maior_radiancia_media,16,2307601,Limoeiro Do Norte,1.3881780617398367,mean_radiance,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_radiancia_media,17,2312908,Sobral,1.3861418924484783,mean_radiance,próximo ao padrão esperado,contribuinte relevante no total estadual
maior_radiancia_media,18,2303501,Cascavel,1.3296576164360758,mean_radiance,próximo ao padrão esperado,contribuinte relevante no total estadual
maior_radiancia_media,19,2307700,Maranguape,1.3272084346433886,mean_radiance,muito menos luminoso que o esperado,"denso, mas menos luminoso que o esperado"
maior_radiancia_media,20,2309003,Mucambo,1.2676582093451434,mean_radiance,mais luminoso que o esperado,perfil intermediário
