code_muni,name_muni,code_state,abbrev_state,name_state,code_region,name_region,mean_radiance,median_radiance,sum_radiance,max_radiance,percent_area_above_1
2300101,Abaiara,23,CE,Ceará,2,Nordeste,0.6453795803845498,0.5662128329277039,473.063232421875,13.872949600219728,13.233287858117324
2300150,Acarape,23,CE,Ceará,2,Nordeste,1.186880115327381,0.8985284566879272,623.112060546875,18.95733642578125,40.57142857142857
2300200,Acaraú,23,CE,Ceará,2,Nordeste,0.9497761658582642,0.7317858934402466,3206.4443359375,29.493654251098636,30.633284241531666
2300309,Acopiara,23,CE,Ceará,2,Nordeste,0.1374149454195205,0.0,1253.911376953125,26.13873863220215,2.213698630136986
2300408,Aiuaba,23,CE,Ceará,2,Nordeste,0.0531564159711684,0.0,525.451171875,11.276582717895508,0.981284774911482
2300507,Alcântaras,23,CE,Ceará,2,Nordeste,0.9240188460669078,0.6517792344093323,510.982421875,21.72416877746582,27.848101265822784
2300606,Altaneira,23,CE,Ceará,2,Nordeste,0.8952630469416596,0.5869444012641907,262.31207275390625,16.26334571838379,18.088737201365188
2300705,Alto Santo,23,CE,Ceará,2,Nordeste,0.3378836572598278,0.0,1835.046142578125,38.97806930541992,6.7943288528816055
2300754,Amontada,23,CE,Ceará,2,Nordeste,0.5258447779605263,0.4569880962371826,2497.7626953125,21.10096549987793,13.221052631578948
2300804,Antonina Do Norte,23,CE,Ceará,2,Nordeste,0.2323776632687559,0.0,247.0174560546875,12.357194900512695,4.609595484477893
2300903,Apuiarés,23,CE,Ceará,2,Nordeste,0.3028831273480191,0.0,665.13134765625,18.325328826904297,5.555555555555555
2301000,Aquiraz,23,CE,Ceará,2,Nordeste,4.498194442206034,2.750405550003052,8721.9990234375,45.95122146606445,88.91181021144921
2301109,Aracati,23,CE,Ceará,2,Nordeste,1.1434063414111355,0.5425598621368408,5667.865234375,71.30192565917969,28.000806939681254
2301208,Aracoiaba,23,CE,Ceará,2,Nordeste,0.3722166751791363,0.0,970.7410888671876,22.223302841186523,9.202453987730062
2301257,Ararendá,23,CE,Ceará,2,Nordeste,0.5483860491674928,0.3978000581264496,760.6114501953125,29.061458587646484,9.73323720259553
2301307,Araripe,23,CE,Ceará,2,Nordeste,0.1505361133866107,0.0,669.7351684570312,15.62937831878662,2.045403461452012
2301406,Aratuba,23,CE,Ceará,2,Nordeste,0.7149806071802512,0.6975987553596497,346.7655944824219,7.064576625823975,27.216494845360824
2301505,Arneiroz,23,CE,Ceará,2,Nordeste,0.0579637387517305,0.0,251.21484375,4.926928043365479,1.2459621596677437
2301604,Assaré,23,CE,Ceará,2,Nordeste,0.2096814428929944,0.0,981.728515625,27.93051147460937,3.289192652712516
2301703,Aurora,23,CE,Ceará,2,Nordeste,0.2920834343789149,0.0,1049.1636962890625,37.72754287719727,4.732739420935412
2301802,Baixio,23,CE,Ceará,2,Nordeste,0.5012328689162796,0.0,296.7298583984375,21.546443939208984,7.432432432432432
2301851,Banabuiú,23,CE,Ceará,2,Nordeste,0.132402600886916,0.0,579.5261840820312,20.609519958496094,1.6221156042951794
2301901,Barbalha,23,CE,Ceará,2,Nordeste,1.44494439727136,0.0,3543.003662109375,65.51653289794922,27.079934747145188
2301950,Barreira,23,CE,Ceará,2,Nordeste,0.8464498738296159,0.7970932722091675,887.0794677734375,12.451461791992188,32.25190839694657
2302008,Barro,23,CE,Ceará,2,Nordeste,0.2597443208744042,0.0,749.3623657226562,16.932373046875,4.298093587521664
2302057,Barroquinha,23,CE,Ceará,2,Nordeste,0.3081479069279999,0.0,446.5063171386719,11.328603744506836,5.833333333333333
2302107,Baturité,23,CE,Ceará,2,Nordeste,0.7085431477093207,0.6288844347000122,897.015625,16.08477783203125,18.167456556082147
2302206,Beberibe,23,CE,Ceará,2,Nordeste,0.6485108255119454,0.0,4180.30078125,34.23505401611328,17.856034750232702
2302305,Bela Cruz,23,CE,Ceará,2,Nordeste,0.4001317108477805,0.0,1358.8472900390625,18.42708778381348,9.77620730270907
