perfil_luminoso,n_municipios,radiancia_total,radiancia_total_share_pct,radiancia_media_mediana,residuo_mediano,densidade_mediana,area_acima_1_mediana
contribuinte relevante no total estadual,31,118936.27514648438,34.665096025778425,0.7494916298069543,0.04933948489941725,59.77,17.856034750232702
brilho excedente espalhado,14,102833.31719970703,29.971737478635387,3.2697326438314356,0.2528126828178962,115.6,46.015141361773374
perfil intermediário,101,79688.0859375,23.225842138840296,0.3286953803885093,-0.014640717631939276,28.18,5.573419078242229
"denso, mas menos luminoso que o esperado",28,33055.69859313965,9.634394254562675,0.6374905948471706,-0.24345039936849325,83.77,17.211182635196067
brilho excedente pontual,10,8587.577056884766,2.502930102183223,0.09585486607082469,0.24929514917416246,9.73,1.417687990104589
