country_or_region,is_nonindependent_territory,population_pct_≤1.7_µcd_m2,population_pct_>1.7_µcd_m2,population_pct_>14_µcd_m2,population_pct_>87_µcd_m2,population_pct_>688_µcd_m2,population_pct_>3000_µcd_m2,area_pct_≤1.7_µcd_m2,area_pct_>1.7_µcd_m2,area_pct_>14_µcd_m2,area_pct_>87_µcd_m2,area_pct_>688_µcd_m2,area_pct_>3000_µcd_m2,source_url
Burkina Faso,False,59.2,40.8,23.4,16.9,10.9,0.0,84.5,15.5,2.7,0.5,0.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Burundi,False,69.5,30.5,9.3,5.2,0.0,0.0,82.8,17.2,1.9,0.3,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Cambodia,False,30.0,70.0,30.9,17.2,9.8,0.0,72.4,27.6,4.4,0.8,0.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Cameroon,False,44.6,55.4,42.1,29.3,19.9,0.0,88.0,12.0,3.0,0.5,0.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Canada,False,0.2,99.8,98.9,94.6,76.2,48.3,80.8,19.2,9.0,2.7,0.3,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Cape Verde,False,1.4,98.6,80.8,42.7,30.2,0.0,24.6,75.4,25.9,4.0,0.5,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Cayman Islands,True,0.0,100.0,100.0,99.9,67.6,0.0,0.0,100.0,100.0,96.9,14.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Central African Republic,False,78.2,21.8,19.9,17.1,0.0,0.0,99.7,0.3,0.1,0.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Chad,False,78.7,21.3,14.0,9.5,7.5,0.0,98.2,1.8,0.5,0.1,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Chile,False,0.8,99.2,94.5,87.5,74.4,39.7,51.4,48.6,18.4,5.1,0.7,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
China,False,0.9,99.1,88.9,64.6,32.5,11.9,44.8,55.2,30.0,10.8,1.6,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Christmas Island,True,0.0,100.0,99.9,74.3,0.0,0.0,0.0,100.0,49.1,6.9,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Cocos Islands,True,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Colombia,False,3.0,97.0,89.3,75.0,54.6,18.7,55.8,44.2,22.1,5.2,0.5,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Comoros,False,38.2,61.8,38.2,15.6,0.0,0.0,64.5,35.5,6.2,0.8,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Congo,False,26.2,73.8,64.9,57.6,49.0,4.7,87.6,12.4,3.6,1.1,0.2,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
"Congo, Democratic Republic of the Congo",False,69.6,30.4,22.2,17.5,11.8,3.3,95.8,4.2,1.0,0.2,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Cook Islands,True,0.0,100.0,85.4,0.0,0.0,0.0,0.0,100.0,34.7,0.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Costa Rica,False,0.0,100.0,97.3,81.8,52.9,2.4,0.4,99.6,70.4,18.3,1.6,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Cote d’Ivoire,False,17.8,82.2,54.2,33.6,19.6,3.5,50.4,49.6,11.1,1.5,0.2,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Croatia,False,0.0,100.0,100.0,95.2,50.5,21.2,0.0,100.0,98.9,62.2,4.0,0.4,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Cuba,False,0.6,99.4,90.0,66.2,39.5,1.9,6.7,93.3,52.3,10.9,0.9,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Cyprus,False,0.0,100.0,99.9,98.1,71.4,10.5,0.0,100.0,99.1,72.2,8.4,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Czech Republic,False,0.0,100.0,100.0,97.5,42.8,7.3,0.0,100.0,100.0,82.3,3.6,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Denmark,False,0.0,100.0,99.9,89.3,38.5,7.3,0.0,100.0,99.2,47.9,2.9,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Djibouti,False,48.9,51.1,39.7,0.8,0.0,0.0,82.3,17.7,2.8,0.1,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Dominica,False,0.0,100.0,94.5,43.7,0.0,0.0,0.0,100.0,44.4,5.7,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Dominican Republic,False,0.0,100.0,98.1,82.3,57.6,22.6,0.2,99.8,79.8,23.0,2.8,0.3,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Ecuador,False,0.4,99.6,95.3,78.3,50.0,17.7,17.2,82.8,53.4,14.9,1.7,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Egypt,False,0.0,100.0,99.9,99.8,97.5,37.1,52.4,47.6,26.5,12.6,4.9,0.5,https://www.science.org/doi/10.1126/sciadv.1600377#T2
El Salvador,False,0.0,100.0,94.9,67.3,24.2,0.0,0.0,100.0,80.2,18.7,1.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Equatorial Guinea,False,17.2,82.8,54.2,39.1,20.0,0.0,20.4,79.6,22.3,3.6,0.3,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Eritrea,False,65.1,34.9,21.9,13.3,0.0,0.0,95.5,4.5,0.7,0.1,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Estonia,False,0.2,99.8,97.4,83.9,60.5,31.8,2.7,97.3,75.1,19.7,2.3,0.3,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Ethiopia,False,73.9,26.1,11.3,6.1,1.5,0.0,93.4,6.6,1.2,0.2,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Falkland Islands,True,17.6,82.4,80.2,67.8,0.0,0.0,88.7,11.3,1.8,0.2,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Faroe Islands,True,0.0,100.0,96.5,74.5,12.6,0.0,0.1,99.9,84.3,21.5,0.3,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Fiji,False,27.4,72.6,49.1,29.9,0.0,0.0,67.7,32.3,7.5,1.3,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Finland,False,0.0,100.0,99.7,95.7,68.0,33.7,2.8,97.2,73.9,27.6,2.9,0.4,https://www.science.org/doi/10.1126/sciadv.1600377#T2
France,False,0.0,100.0,100.0,94.3,58.9,26.6,0.0,100.0,100.0,64.5,6.7,0.7,https://www.science.org/doi/10.1126/sciadv.1600377#T2
French Guiana,True,7.8,92.2,88.4,77.9,36.7,0.0,88.3,11.7,2.9,0.7,0.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
French Polynesia,True,0.0,100.0,98.7,80.8,4.9,0.0,0.0,100.0,59.6,10.9,0.2,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Gabon,False,22.0,78.0,69.4,56.9,38.7,0.2,77.5,22.5,7.9,2.0,0.3,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Gaza Strip,True,0.0,100.0,100.0,100.0,95.1,0.0,0.0,100.0,100.0,100.0,68.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Georgia,False,0.0,100.0,92.2,63.6,36.7,4.5,0.0,100.0,49.8,10.8,0.8,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Germany,False,0.0,100.0,100.0,96.0,41.6,2.7,0.0,100.0,100.0,74.2,4.8,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Ghana,False,15.5,84.5,60.6,37.1,21.4,0.4,51.5,48.5,16.3,3.4,0.5,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Gibraltar,True,0.0,100.0,100.0,100.0,100.0,41.9,0.0,100.0,100.0,100.0,100.0,28.6,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Greece,False,0.0,100.0,99.8,93.2,66.0,41.9,0.0,100.0,96.3,40.1,3.0,0.5,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Greenland,True,13.3,86.7,86.6,78.1,3.9,0.0,99.9,0.1,0.0,0.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Grenada,False,0.0,100.0,100.0,76.3,0.0,0.0,0.0,100.0,100.0,39.8,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Guadeloupe,True,0.0,100.0,100.0,99.7,60.2,1.7,0.0,100.0,100.0,87.5,11.3,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Guam,True,0.0,100.0,100.0,100.0,82.9,0.0,0.0,100.0,100.0,95.8,27.4,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Guatemala,False,2.2,97.8,84.8,46.3,20.2,0.5,25.4,74.6,38.9,7.2,0.6,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Guernsey,True,0.0,100.0,100.0,91.1,0.0,0.0,0.0,100.0,100.0,68.7,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Guinea,False,75.8,24.2,15.3,9.6,0.0,0.0,95.1,4.9,0.8,0.2,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Guinea-Bissau,False,68.7,31.3,28.5,23.3,0.0,0.0,97.5,2.5,0.6,0.1,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Guyana,False,26.3,73.7,55.5,43.5,5.8,0.0,94.3,5.7,1.2,0.2,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Haiti,False,28.1,71.9,41.1,30.7,19.2,0.0,43.5,56.5,12.6,2.5,0.3,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Honduras,False,2.1,97.9,78.5,51.2,33.2,2.2,28.9,71.1,34.2,6.0,0.5,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Hungary,False,0.0,100.0,100.0,86.0,38.5,9.8,0.0,100.0,100.0,41.1,2.1,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Iceland,False,0.7,99.3,95.0,91.6,73.8,38.7,36.0,64.0,24.4,7.6,0.6,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
India,False,0.2,99.8,93.9,58.5,19.5,5.9,6.8,93.2,72.5,24.7,1.5,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Indonesia,False,7.0,93.0,83.2,64.5,24.8,6.3,60.9,39.1,17.7,6.4,0.6,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Iran,False,0.2,99.8,97.9,88.5,64.0,17.1,17.0,83.0,55.5,18.1,2.6,0.3,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Iraq,False,0.1,99.9,99.1,95.6,76.2,49.4,28.7,71.3,53.7,33.2,9.0,2.5,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Ireland,False,0.0,100.0,99.6,83.9,45.2,18.5,0.0,100.0,94.6,39.4,2.0,0.3,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Isle of Man,True,0.0,100.0,99.8,77.4,42.7,0.0,0.0,100.0,97.8,31.5,2.8,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Israel,False,0.0,100.0,100.0,99.9,97.6,61.0,0.0,100.0,98.2,76.3,41.9,8.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Italy,False,0.0,100.0,100.0,99.6,76.9,26.7,0.0,100.0,100.0,90.3,19.7,1.3,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Jamaica,False,0.0,100.0,100.0,86.0,47.2,4.1,0.0,100.0,100.0,41.7,2.9,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Japan,False,0.0,100.0,99.9,96.7,70.4,29.9,0.1,99.9,91.1,39.2,7.1,1.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Jersey,True,0.0,100.0,100.0,98.9,35.8,0.0,0.0,100.0,100.0,91.5,6.5,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Jordan,False,0.1,99.9,99.7,98.8,80.5,24.7,13.6,86.4,52.0,22.2,4.2,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
