country_or_region,is_nonindependent_territory,population_pct_≤1.7_µcd_m2,population_pct_>1.7_µcd_m2,population_pct_>14_µcd_m2,population_pct_>87_µcd_m2,population_pct_>688_µcd_m2,population_pct_>3000_µcd_m2,area_pct_≤1.7_µcd_m2,area_pct_>1.7_µcd_m2,area_pct_>14_µcd_m2,area_pct_>87_µcd_m2,area_pct_>688_µcd_m2,area_pct_>3000_µcd_m2,source_url
Netherlands,False,0.0,100.0,100.0,100.0,81.2,26.2,0.0,100.0,100.0,99.4,42.5,7.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Netherlands Antilles,True,0.0,100.0,100.0,99.2,93.5,0.7,0.0,100.0,100.0,79.6,30.0,1.7,https://www.science.org/doi/10.1126/sciadv.1600377#T2
New Caledonia,True,7.6,92.4,79.2,67.2,48.4,0.0,38.9,61.1,16.3,3.9,0.6,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
New Zealand,False,2.8,97.2,91.4,83.4,56.4,4.8,53.1,46.9,15.1,3.5,0.5,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Nicaragua,False,16.9,83.1,65.5,50.7,24.3,0.0,64.7,35.3,11.8,2.5,0.2,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Niger,False,73.2,26.8,18.7,14.6,6.5,0.0,97.3,2.7,0.6,0.1,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Nigeria,False,25.4,74.6,52.6,35.6,13.8,0.5,59.7,40.3,15.8,7.0,1.4,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Niue,True,97.3,2.7,0.0,0.0,0.0,0.0,99.5,0.5,0.0,0.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Norfolk Island,True,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
North Korea,False,27.3,72.7,42.4,15.4,1.1,0.0,61.9,38.1,10.0,1.8,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
