code_muni,name_muni,name_state,abbrev_state,pop_2022_ibge,area_km2_ibge,densidade_2022_ibge_hab_km2,mean_radiance,median_radiance,sum_radiance,max_radiance,percent_area_above_1,share_radiancia_total_ce_pct,radiancia_total_per_capita_2022,hotspot_index_max_over_mean,log1p_densidade_2022,log1p_radiancia_media,radiancia_media_esperada_log,radiancia_media_esperada,residuo_luminoso_log,residuo_luminoso_std,residuo_luminoso_percentil,classe_residuo_luminoso,perfil_luminoso,rank_radiancia_total,rank_radiancia_media,rank_residuo_luminoso,rank_radiancia_per_capita,rank_area_acima_1,rank_hotspot_index
2311009,Poranga,Ceará,CE,12065,1311,9.2,0.0558836611376068,0.0,295.9598693847656,8.20419979095459,1.0007552870090637,0.08626028753098208,0.024530449182326202,146.808556868602,2.322387720290225,0.05437800983771184,-0.18381137673269676,-0.16790725892328082,0.2381893865704086,1.1276267700504479,91.84782608695652,muito mais luminoso que o esperado,brilho excedente pontual,172,183,16,178,181,19
2313005,Solonópole,Ceará,CE,18179,1536,11.84,0.1720277254457099,0.0,1068.63623046875,23.266447067260746,2.8171281390856406,0.3114640802412929,0.0587841042119341,135.24823903664964,2.552565298261815,0.158735347398653,-0.07916899792010623,-0.0761162231855555,0.23790434531875923,1.1262773390344127,91.30434782608695,muito mais luminoso que o esperado,brilho excedente pontual,78,161,17,33,159,21
2311231,Potiretama,Ceará,CE,5974,409,14.6,0.2559054920884882,0.0,424.035400390625,26.38702774047852,4.345202172601086,0.12358910563464799,0.07098014737037579,103.11239286823081,2.747270914255491,0.22785682006247088,0.009347264199324856,0.009391086305844969,0.21850955586314602,1.034459294139382,90.76086956521739,muito mais luminoso que o esperado,brilho excedente pontual,157,135,18,16,135,45
2311900,Saboeiro,Ceará,CE,13854,1381,10.03,0.0700354850586286,0.0,391.7785034179688,10.337719917297363,1.0904540579191992,0.11418752962536417,0.02827908931846173,147.60688472474337,2.400618833265411,0.06769181153010953,-0.14824627160377601,-0.13778125120082904,0.21593808313388554,1.0222855296836275,90.21739130434783,muito mais luminoso que o esperado,brilho excedente pontual,163,179,19,172,180,18
2303006,Caridade,Ceará,CE,16377,926,17.68,0.3423357882414477,0.0,1283.4168701171875,21.63440322875977,6.881835156041611,0.374063917748574,0.07836703120945152,63.19644018727218,2.9274534328006965,0.2944112220359749,0.09126109580346653,0.09555501273545657,0.2031501262325084,0.9617452900706349,89.67391304347827,muito mais luminoso que o esperado,perfil intermediário,69,110,20,11,109,79
2312809,Senador Sá,Ceará,CE,7262,425,17.1,0.3003733626035886,0.0,514.2391967773438,23.727214813232425,5.140186915887851,0.14987985048758867,0.07081233775507349,78.99240641239386,2.89591193827178,0.2626514252356512,0.0769218319711853,0.07995765493202434,0.18572959326446592,0.8792736921285312,89.13043478260869,muito mais luminoso que o esperado,perfil intermediário,145,125,21,18,126,66
2305266,Ibaretama,Ceará,CE,11956,879,13.6,0.1621013422516521,0.0,576.432373046875,5.573617458343506,2.7277840269966256,0.16800663665838622,0.04821281139569045,34.383536536713436,2.681021528714291,0.1502298682685281,-0.020770757542824647,-0.020556531137015038,0.17100062581135275,0.8095443971566806,88.58695652173914,muito mais luminoso que o esperado,perfil intermediário,138,163,22,59,161,130
2306256,Itaitinga,Ceará,CE,64648,154,420.65,4.339337720239297,1.6343995332717896,2686.050048828125,45.6723861694336,57.83521809369952,0.7828745499049375,0.04154884990762475,10.525197415699129,6.044175586020651,1.6751016228535884,1.5081724348005685,3.5184654536723436,0.16692918805301993,0.7902695576057036,88.04347826086956,muito mais luminoso que o esperado,brilho excedente espalhado,29,8,23,98,9,174
2313203,Tamboril,Ceará,CE,24815,2015,12.32,0.1011110347963375,0.0,823.0438232421875,21.699731826782227,1.3882063882063882,0.23988386327867586,0.033167190136699075,214.61289221179402,2.589266665112243,0.09631970169861505,-0.062483974266862585,-0.060571882282841154,0.15880367596547762,0.7518020797629292,87.5,muito mais luminoso que o esperado,brilho excedente pontual,101,176,24,149,176,7
2307007,Jaguaruana,Ceará,CE,31701,854,37.1,0.7726509268991012,0.0,2664.873046875,25.56758689880371,27.776167004928965,0.776702313509111,0.08406274397889657,33.0907347362204,3.6402142821326553,0.5724761249664959,0.41529348616854533,0.5148152527843759,0.15718263879795058,0.7441278297399967,86.95652173913044,muito mais luminoso que o esperado,brilho excedente espalhado,30,46,25,6,30,135
2311504,Quixeré,Ceará,CE,20874,613,34.05,0.6995048584377516,0.0,1737.570068359375,32.359657287597656,19.082125603864736,0.5064311388347403,0.08324087708917194,46.260804125946635,3.5567756134805992,0.5303369488953147,0.377360943608799,0.45843062559345826,0.15297600528651567,0.7242129518036402,86.41304347826086,muito mais luminoso que o esperado,brilho excedente espalhado,48,59,26,7,48,103
